192.168.10.40 	svr004
192.168.10.114	vapp4
192.168.10.136	vsvr006mq
192.168.10.111	vapp1
192.168.10.112	vapp2
192.168.10.121	vdb001
192.168.10.122	vdb002
192.168.10.102	image
192.168.10.117	search-wpn
192.168.10.118	vapp8
192.168.10.138	smsd
192.168.10.123	vsvr003
	
192.168.10.30 	svr003
192.168.10.41	vapp01
192.168.10.42	vapp02
192.168.10.35	dbserver01
192.168.10.37  	phptest-weixin2
192.168.10.38  	cyea
192.168.10.34	openfire
192.168.10.45	jeecms_O2O
192.168.10.43	huodong
#192.168.10.31	awstats
192.168.10.33	redmail
192.168.10.32	solr_slave
192.168.10.231	ecshopdb

192.168.10.23	svr001
192.168.10.55	appstat
192.168.10.241	edu
192.168.10.100	dbproxy
192.168.10.36	dbserver
192.168.10.56 	image2
192.168.10.173	k8s-master3
192.168.10.183	k8s-node3
192.168.10.12	virt1
192.168.10.51	vweixin
192.168.10.13	virt2
192.168.10.14	virt3
192.168.10.15	virt4
192.168.10.16	virt5
192.168.10.17	virt6
192.168.10.18	virt7
192.168.10.19	virt8
192.168.10.20	virt9
192.168.10.21	virt10
192.168.10.44	virt2_2

192.168.10.28	k8host
#192.168.10.71	awstats
192.168.10.80	hub1
192.168.10.202	jeecms
192.168.10.171	k8s-master1
192.168.10.172	k8s-master2
192.168.10.181	k8s-node1
192.168.10.182	k8s-node2
192.168.10.57	lampdb
192.168.10.24 	nagios
192.168.10.155	wpns1
192.168.10.156	wpns2
192.168.10.6	zsolr2

