192.168.1.168 svr002
192.168.10.2 svr006
192.168.1.240 adv
192.168.1.245 bbs
192.168.1.247 cas
192.168.1.211 gitlabnew
192.168.1.243 image16
192.168.1.239 jeecms
192.168.1.232 llzgmri
192.168.1.238 mailser
192.168.1.236 master-mb
192.168.1.234 master-mysql
192.168.1.246 mongo
192.168.1.244 monitor
192.168.1.248 solr
192.168.1.254 vsvr001
192.168.1.253 vsvr002
192.168.1.252 vsvr004
192.168.1.241 vsvr0051
192.168.1.242 vsvr0052
192.168.1.251 vsvr005
192.168.1.249 vsvr006
192.168.1.231 wpn
#192.168.1.237 minimac
#same net with online, can be checked without vpn
#192.168.10.30 ssllmysql
#192.168.10.100 k8s-master1
#192.168.10.31 mysql_slave
#192.168.10.36 proxysql
#192.168.10.201 kus-node1
#192.168.10.71 awstats
#192.168.10.215 scheduler
#192.168.10.202 kus-node2
#192.168.10.10 hub
#192.168.10.20 jenkins
